year,make,model,description,price,location,img_url,ad_url
2008,Toyota,hiace,petrol auto,18990,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/439672722_3799467163644041_3953102934456060903_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=cLw93CIewqYQ7kNvgHdjynI&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAXE2IA8-CRQYtmqYx_Dntt1RMmFdoRxd0Ufb4k5wKxPA&oe=66B8D73E,https://www.facebook.com/marketplace/item/768406558758480
2010,Toyota,hiace,,10000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/433435792_10161712329923969_134916548939211873_n.jpg?stp=c159.0.260.260a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=A7Hwupd4XDMQ7kNvgEZjFp0&_nc_ht=scontent.fmel16-1.fna&oh=00_AYD3rn7VkemZ5n14JWArEUbIhVOWFGPhslNGXaFRlEtw9w&oe=66B8D7B8,https://www.facebook.com/marketplace/item/374127325490380
2008,Toyota,hiace,- turbo diesel with rwc and - rego and 1 year warranty,16500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/451400090_8255978147802097_2891638760244686393_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=F00A4xQH0nIQ7kNvgFhqKhz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCgu3rucC5Not102jP8hqGuwqsmHWW1w9_BxQ9c0XAoHQ&oe=66B8C1E2,https://www.facebook.com/marketplace/item/488581063856440
2010,Toyota,hiace,,9450,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449370367_8006568319394480_6935784402777197482_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=76OA7jeqV-EQ7kNvgEO4iFC&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCULoz05wMe2noqdj5nqPLgB2oP1ek9rHkmIIkBTZ9ZKg&oe=66B8B265,https://www.facebook.com/marketplace/item/789816896470251
2009,Toyota,hiace,van! great kms! - clean!,14800,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448677221_3075956702535293_2223406822568513006_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=qcnP1x8OhtAQ7kNvgHBrIn3&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBsWVRFWCMCqHfUdADxsLzOuuKb0rAnS-l8tvPKP37LGA&oe=66B8A8B7,https://www.facebook.com/marketplace/item/150371477383820
2010,Toyota,hiace,turbo diesel - automatic,17999,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/448798591_486512700405009_4639099728631049001_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=94phwG8HPGYQ7kNvgHqYFFn&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAysgK87rGJYhOFnl6a_fonnD7EAhK80dCk0UBUfBjybA&oe=66B8D2B0,https://www.facebook.com/marketplace/item/101419107370374
2008,Toyota,hiace,commuter,17999,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/445568261_1020084736140678_1849199737421440508_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=iDNLIpCiNEEQ7kNvgEXlLsA&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA1hWge1oE4SLNO6pCuCoLFBZYMnGBTnaNHTYyS5Tdq_Q&oe=66B8BC12,https://www.facebook.com/marketplace/item/221554715878646
2015,Toyota,hiace,,21000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/452258450_122105046644406374_3925520388690855123_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=BPHLay-taPgQ7kNvgHoAzsG&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBXGS4VfNAcJoAywaaG7Dr7EnFhVcjUJtM_ndoCOxa4gg&oe=66B8D157,https://www.facebook.com/marketplace/item/467798452695621
2015,Toyota,hiace,,23000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445469652_10233036564439092_5744155293931809543_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=E4XtXJN2ErIQ7kNvgHGJQJR&_nc_ht=scontent.fmel16-1.fna&oh=00_AYACZQjn-BQ7Wcm1cWbrzKGZDrcEIoR75xdfN63nxmSyqA&oe=66B8B9A9,https://www.facebook.com/marketplace/item/116445755459719
2017,Toyota,hiace,,25000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450073550_3517446381732191_6572356825796363492_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=YfttwHME3i4Q7kNvgHZU5dz&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDRajxXXWcqCjky8jjM-zOxkTwnwjtQeoA_YUrDVij47A&oe=66B8BF94,https://www.facebook.com/marketplace/item/329068863604341
