year,make,model,description, price ,mileage,location,ad_url,img_url
2024,Toyota,hiace,," $56,200 ",1,"Melbourne, VIC",https://www.facebook.com/marketplace/item/416390137655614,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/434191330_1119794129356184_7397636923902033842_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=HzrBOOHMKT8Q7kNvgHClqbC&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC1ENT6NrMk9L0VRbLNLC0ZSJkxerMIW9IoVjOuZscpJw&oe=66B8ECFB
2024,Toyota,hiace,," $62,999 ",1,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1160467645197203,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450613272_8289991627692110_4576729104739317655_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Lby2-NfqCD0Q7kNvgECi6AU&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDHi1OBnur8LB7Vj5im4NaVx4DDkveu9JJYjD6AaRQBXA&oe=66B8F31F
2023,Toyota,hiace,," $81,000 ",1,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1935330256904677,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/439672230_895292532408222_7831931955130496439_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=GtWZEufQXHgQ7kNvgGDHx0x&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA6h9KpE5GSbBDlqbS10J05eaQzk6igtJavnX9JQEWnBw&oe=66B8D779
2023,Toyota,hiace,van," $60,000 ",5,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1100439391054702,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448387697_10232407095668053_2719907171096192611_n.jpg?stp=c0.18.261.261a_dst-jpg_p261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=yjCkX_bLQx0Q7kNvgH8cib_&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCwYa-t4-Fq3eziIQPd0CNJZRngOFKKGKLEsErf29AQJw&oe=66B8E286
2019,Toyota,hiace,," $49,900 ",8,"Melbourne, VIC",https://www.facebook.com/marketplace/item/271794849267943,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/428433273_10225576577306828_5244301976539916648_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=yebNQHwAabIQ7kNvgHr9ftM&_nc_ht=scontent.fmel16-1.fna&oh=00_AYD9PilqTzUCQ7yLiMRL4qWquIOT8IdgoKL7RtgRrzcVFQ&oe=66B8D981
2024,Toyota,hiace,," $61,000 ",12,"Wollert, VIC",https://www.facebook.com/marketplace/item/842543414401721,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445370151_26422009817398144_6363531921250224004_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=4L0i0riCTMwQ7kNvgHzCb8Y&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCNoUFNa8l3nl5rLf0vHHJ44l94PYc1GhJvYshcYhqtvA&oe=66B8C66F
2024,Toyota,hiace,," $65,999 ",15,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2108118356223827,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448792279_3842613536063263_9174446295113156258_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=zCqb9BzPdV0Q7kNvgGdpOSq&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDMiCXlKdVU6gjDVkjgwks1Au4cgGFeud7DEwtmuLEEUA&oe=66B8F623
1999,Toyota,hiace,," $6,000 ",20,"Melbourne, VIC",https://www.facebook.com/marketplace/item/833247968744491,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450815062_10225449101804927_8864160438057513512_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=QskVm__1AgQQ7kNvgGFP4Mi&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB8prr0FM6w11rrPJVN5V6v7YKd_LPrKZF7YZAAENG1tg&oe=66B8F553
2021,Toyota,hiace,," $49,999 ",20,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1881858932236223,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/448536971_10160963782785589_6110584413095463777_n.jpg?stp=c38.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=z5TOoW4YS4wQ7kNvgGuPF0Y&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDlXAWnc43PMzoHPSNnpmsFKckDhuZzSr-M1B7qhObPOw&oe=66B8DAF1
2023,Toyota,hiace,," $63,000 ",25,"Melbourne, VIC",https://www.facebook.com/marketplace/item/469469588874142,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/447475821_10225762463031724_4696191681710687216_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=eJbL1otZaGcQ7kNvgFeM6_7&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBporU2L8B6krwde09C02SKSZTOSTIaLweRI7FouOovYA&oe=66B8C62A
